system,temporal_bin,metric,estimate,ci_lower,ci_upper
minilm_hierarchical,late,macro_f1,0.2979494548359453,0.2765435063892254,0.31790954561542156
minilm_hierarchical,late,cited_vs_u_roc_auc,0.4815930025077161,0.45196032112027396,0.5097345422815394
minilm_hierarchical,late,x_vs_a_roc_auc,0.4756522472993827,0.44268376856674385,0.5102934660734953
minilm_hierarchical,late,pairwise_cited_over_U,0.4869791666666667,0.45223524305555557,0.5190972222222222
minilm_hierarchical,late,pairwise_X_over_A,0.5086805555555556,0.46875,0.5503472222222222
deberta_direct,early,accuracy,0.5011587485515643,0.4773505980943728,0.5244605147977299
deberta_direct,early,macro_f1,0.5004318467896283,0.47677950132061653,0.5234906719891173
deberta_direct,early,cited_vs_u_roc_auc,0.8100066287187722,0.7876922662033826,0.8312083903710015
deberta_direct,early,x_vs_a_roc_auc,0.5466811044291715,0.5209090921105153,0.5722142927998076
deberta_direct,early,pairwise_cited_over_U,0.81875,0.7937477992957748,0.845081426056338
deberta_direct,early,pairwise_X_over_A,0.5542840375586855,0.5131968896713615,0.5947769953051643
deberta_direct,middle,accuracy,0.44506866416978774,0.42134831460674155,0.46941323345817726
deberta_direct,middle,macro_f1,0.44112667252823884,0.41748556019931354,0.46520857506145696
deberta_direct,middle,cited_vs_u_roc_auc,0.7179701636998697,0.690135443406416,0.7449164667760804
deberta_direct,middle,x_vs_a_roc_auc,0.5595182987557688,0.5267920892423796,0.5927951717656301
deberta_direct,middle,pairwise_cited_over_U,0.7191011235955056,0.6872659176029963,0.7509597378277152
deberta_direct,middle,pairwise_X_over_A,0.5561797752808989,0.5149812734082397,0.599250936329588
deberta_direct,late,accuracy,0.43171296296296297,0.40970775462962966,0.453125
deberta_direct,late,macro_f1,0.4281442697728967,0.406200873547246,0.4497890584412381
deberta_direct,late,cited_vs_u_roc_auc,0.749172634548611,0.7243482801649306,0.7741508201316551
deberta_direct,late,x_vs_a_roc_auc,0.4592948254243827,0.42869835370852627,0.4899637858072916
deberta_direct,late,pairwise_cited_over_U,0.75,0.7222005208333333,0.7795138888888888
deberta_direct,late,pairwise_X_over_A,0.4652777777777778,0.4253472222222222,0.5052083333333334
deberta_hierarchical,early,accuracy,0.48088064889918886,0.45855009016229215,0.5031811215937934
deberta_hierarchical,early,macro_f1,0.47097045032969675,0.4476711491441777,0.4928715212575046
deberta_hierarchical,early,cited_vs_u_roc_auc,0.8126246685640612,0.7918070630360221,0.8331683576564275
deberta_hierarchical,early,x_vs_a_roc_auc,0.48987566819396716,0.4590887308828913,0.5190227461928533
deberta_hierarchical,early,pairwise_cited_over_U,0.8257922535211267,0.7997359154929577,0.8500088028169014
deberta_hierarchical,early,pairwise_X_over_A,0.4709507042253521,0.429137323943662,0.512775088028169
deberta_hierarchical,middle,accuracy,0.43570536828963796,0.4125936329588015,0.45942571785268416
deberta_hierarchical,middle,macro_f1,0.42657945209054765,0.402925659376022,0.4506114240967105
deberta_hierarchical,middle,cited_vs_u_roc_auc,0.7209544950833928,0.6964727201952615,0.7451590971257838
deberta_hierarchical,middle,x_vs_a_roc_auc,0.5594166000364712,0.5258239349689293,0.5904012189818906
deberta_hierarchical,middle,pairwise_cited_over_U,0.7209737827715356,0.6891385767790262,0.7528089887640449
deberta_hierarchical,middle,pairwise_X_over_A,0.5749063670411985,0.5317883895131087,0.6142790262172282
deberta_hierarchical,late,accuracy,0.4270833333333333,0.40625,0.44849537037037035
deberta_hierarchical,late,macro_f1,0.41461378175816055,0.3936448053493448,0.435837696485623
deberta_hierarchical,late,cited_vs_u_roc_auc,0.7423864293981481,0.7185027699411651,0.768509363245081
deberta_hierarchical,late,x_vs_a_roc_auc,0.4790702160493827,0.44916622962480707,0.5103830596547069
deberta_hierarchical,late,pairwise_cited_over_U,0.7300347222222222,0.7005208333333334,0.7612847222222222
deberta_hierarchical,late,pairwise_X_over_A,0.4618055555555556,0.4201388888888889,0.5017361111111112
qwen3_8b_direct,early,accuracy,0.3348783314020857,0.3186033621882717,0.3514781302665698
qwen3_8b_direct,early,macro_f1,0.2520521181585122,0.23678922891707752,0.2672740875394396
