split,label_group,feature,rows,queries,mean,std,q25,median,q75,minimum,maximum
train,X,passage_claim_ratio,8462,8374,2.971640456258392,3.378135481025396,0.9403429282160626,1.9268183846497098,3.7768817204301075,0.005128205128205128,76.47368421052632
train,U,bm25_score,8275,8275,27.501687257191588,12.97529328505075,18.255828796690903,25.043423894003677,33.97518177541923,3.2912357123331595,142.17529830300657
train,U,token_jaccard,8275,8275,0.13280908563889018,0.04487785337747261,0.10144927536231885,0.1282051282051282,0.1595744680851064,0.022727272727272728,0.391304347826087
train,U,claim_coverage,8275,8275,0.3390210895147221,0.10238013598166519,0.2682926829268293,0.3333333333333333,0.4,0.07407407407407407,0.9166666666666666
train,U,claim_token_count,8275,8275,60.07746223564955,56.80053364215616,26.0,41.0,73.0,9.0,958.0
train,U,passage_token_count,8275,8275,125.44700906344411,141.76609523086543,64.0,100.0,155.0,8.0,3489.0
train,U,passage_claim_ratio,8275,8275,3.239454672746585,3.7781878464209337,1.150943396226415,2.2051282051282053,4.032291666666667,0.1013215859030837,132.0909090909091
validation,C,bm25_score,3626,1809,15.553912847320523,13.519552067748789,6.047291751151455,12.227574608814116,21.904609250671864,0.0,142.84198244845408
validation,C,token_jaccard,3626,1809,0.09806414474292088,0.040134720939160894,0.06944444444444445,0.09398841278035909,0.12215447154471544,0.0,0.3157894736842105
validation,C,claim_coverage,3626,1809,0.24984578957839915,0.10704979737146662,0.1724137931034483,0.23809523809523808,0.3125,0.0,0.7857142857142857
validation,C,claim_token_count,3626,1809,58.98207391064534,49.05148831740868,28.0,43.0,74.0,8.0,489.0
validation,C,passage_token_count,3626,1809,103.64506343077771,84.99807413093775,50.0,85.0,133.0,2.0,836.0
validation,C,passage_claim_ratio,3626,1809,2.8384764260279396,3.3729071099865444,0.8805509868421053,1.792059748427673,3.6129032258064515,0.024489795918367346,50.666666666666664
validation,A,bm25_score,1813,1809,15.129973987838055,13.593587131871173,5.704850082161262,11.781334440293797,21.428649913612507,0.0,142.84198244845408
validation,A,token_jaccard,1813,1809,0.09664162417714935,0.03947397777790108,0.06896551724137931,0.09278350515463918,0.1206896551724138,0.0,0.3157894736842105
validation,A,claim_coverage,1813,1809,0.2450293642154713,0.10256180148845787,0.1694915254237288,0.23529411764705882,0.30434782608695654,0.0,0.7307692307692307
validation,A,claim_token_count,1813,1809,58.97904026475455,49.05970820169616,28.0,43.0,74.0,8.0,489.0
validation,A,passage_token_count,1813,1809,99.27247655819085,70.19354116349153,51.0,84.0,132.0,6.0,760.0
validation,A,passage_claim_ratio,1813,1809,2.7069773358684515,3.0878269661110354,0.9,1.8048780487804879,3.5555555555555554,0.04522613065326633,50.666666666666664
validation,X,bm25_score,1813,1809,15.977851706802996,13.43548247920799,6.582896064560599,12.684862717710944,22.356298295284578,0.0,122.81843134861766
validation,X,token_jaccard,1813,1809,0.09948666530869242,0.04074599765929638,0.06976744186046512,0.09615384615384616,0.1232876712328767,0.0,0.29411764705882354
validation,X,claim_coverage,1813,1809,0.25466221494132707,0.11117687670470944,0.175,0.2413793103448276,0.31868131868131866,0.0,0.7857142857142857
validation,X,claim_token_count,1813,1809,58.98510755653613,49.056802447702914,28.0,43.0,74.0,8.0,489.0
validation,X,passage_token_count,1813,1809,108.01765030336459,97.40605208041796,49.0,86.0,138.0,2.0,836.0
validation,X,passage_claim_ratio,1813,1809,2.969975516187427,3.631804604871513,0.8529411764705882,1.7692307692307692,3.7058823529411766,0.024489795918367346,46.44444444444444
validation,U,bm25_score,1656,1656,21.86243523858185,11.147288753916282,14.32545226643903,20.132409168088408,26.23873598437102,2.635812286490103,90.05371953268352
validation,U,token_jaccard,1656,1656,0.11910372865892542,0.041149745332382394,0.09073820915926178,0.11586575133485888,0.14285714285714285,0.03076923076923077,0.3076923076923077
validation,U,claim_coverage,1656,1656,0.31686150807411445,0.09761240758285732,0.25,0.31530214424951264,0.3793103448275862,0.07692307692307693,0.6666666666666666
validation,U,claim_token_count,1656,1656,59.14855072463768,49.62895227830971,28.0,43.0,74.0,8.0,489.0
validation,U,passage_token_count,1656,1656,128.82004830917873,95.83885762599148,71.0,103.0,151.0,16.0,836.0
validation,U,passage_claim_ratio,1656,1656,3.340122484355849,3.61502610350944,1.2704630012401819,2.236231884057971,4.169117647058824,0.053169734151329244,49.1764705882353
test,C,bm25_score,3638,1808,17.089601596332233,15.034266110962998,6.063191836660578,13.360148820710616,24.192996666811975,0.0,119.82940548051361
test,C,token_jaccard,3638,1808,0.0978518889942519,0.042415654981809464,0.0673347018150389,0.09166666666666666,0.1230453972257251,0.0,0.325
test,C,claim_coverage,3638,1808,0.25495840484390936,0.10940331805790048,0.17510964912280702,0.24444444444444444,0.32142857142857145,0.0,0.75
test,C,claim_token_count,3638,1808,59.88675096206707,57.769452911450585,26.0,40.0,70.0,8.0,747.0
test,C,passage_token_count,3638,1808,104.42715777899944,68.1543360818368,54.0,90.0,139.0,1.0,589.0
test,C,passage_claim_ratio,3638,1808,2.885221411285442,2.8675291838560923,0.9509318806193806,2.045983086680761,3.7556818181818183,0.036734693877551024,27.5
test,A,bm25_score,1816,1808,16.806618954789943,15.034429108383565,5.8630633489253485,13.073242855887386,23.56733144258222,0.0,97.57940893333681
test,A,token_jaccard,1816,1808,0.09612411061035211,0.04173833985634437,0.06666666666666667,0.0898876404494382,0.12082027168234065,0.0,0.2966101694915254
test,A,claim_coverage,1816,1808,0.25254095465196247,0.11007936311941946,0.1724137931034483,0.2413793103448276,0.3157894736842105,0.0,0.75
test,A,claim_token_count,1816,1808,59.938876651982376,57.81057799870675,26.0,40.0,70.0,8.0,747.0
test,A,passage_token_count,1816,1808,106.23072687224669,69.95286222969732,54.0,93.0,143.0,1.0,483.0
test,A,passage_claim_ratio,1816,1808,2.9453367586367762,2.986459114599667,0.9471768012263668,2.0285714285714285,3.95875,0.036734693877551024,27.5
test,X,bm25_score,1822,1808,17.371652352117525,15.032928542222402,6.224354754141239,13.645803229646777,24.646309457011718,0.0,119.82940548051361
test,X,token_jaccard,1822,1808,0.09957397765789736,0.04302258109148141,0.0684931506849315,0.09322033898305085,0.125,0.0,0.325
test,X,claim_coverage,1822,1808,0.2573678941680453,0.10870202702596399,0.17797619047619048,0.25,0.3333333333333333,0.0,0.6923076923076923
test,X,claim_token_count,1822,1808,59.834796926454445,57.74425842964572,26.0,40.0,70.0,8.0,747.0
test,X,passage_token_count,1822,1808,102.62952799121844,66.28360402252812,55.0,88.0,136.0,7.0,589.0
test,X,passage_claim_ratio,1822,1808,2.825304028854036,2.743377963718517,0.9590770720907706,2.056349206349206,3.6296296296296298,0.0428380187416332,26.095238095238095
test,U,bm25_score,1678,1678,23.760641937288277,13.388373000049118,14.253090618865354,20.638132107190643,30.010640139656907,3.0555757024475643,111.53617967538075
test,U,token_jaccard,1678,1678,0.11968959337703218,0.03827880969935736,0.09234001292824823,0.11650485436893204,0.14285714285714285,0.025974025974025976,0.35294117647058826
test,U,claim_coverage,1678,1678,0.3199388457947303,0.10355009823449314,0.25,0.3103448275862069,0.38095238095238093,0.07377049180327869,0.782608695652174
test,U,claim_token_count,1678,1678,61.33969010727056,58.86981876566295,27.0,41.0,72.0,8.0,747.0
test,U,passage_token_count,1678,1678,124.35458879618594,76.74377919026698,70.0,114.0,156.0,10.0,429.0
test,U,passage_claim_ratio,1678,1678,3.1498769764022647,2.74109530525407,1.2261730205278591,2.246402523161837,4.169715447154472,0.13333333333333333,18.4
